fir_number,date,district,area,crime_type,sections,modus_operandi,status,is_synthetic
FIR-2024-CHI-0446,2024-07-23,Chickballapura,Pathak Chowk,NDPS,NDPS Act 20,courier parcel concealment,closed,True
FIR-2025-DHA-0447,2025-09-20,Dharwad,Zachariah Street,Cyber Fraud,IT Act 66D,OTP social engineering,under-investigation,True
FIR-2025-TUM-0448,2025-03-23,Tumakuru,Rana Zila,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2024-MYS-0449,2024-03-19,Mysuru,Mahajan Circle,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2024-BEL-0450,2024-01-17,Belagavi,Raj Road,NDPS,NDPS Act 20,street-level peddling,closed,True
FIR-2024-HAS-0451,2024-09-28,Hassan,Sha Zila,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2024-CHI-0452,2024-01-14,Chickballapura,Pathak Chowk,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2024-KAL-0453,2024-03-30,Kalaburagi,Sinha Ganj,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2025-SHI-0454,2025-07-05,Shivamogga,Rao Nagar,Burglary,BNS 331,lock-picking daytime entry,under-investigation,True
FIR-2024-VIJ-0455,2024-09-05,Vijayapur,Yogi Ganj,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-CHI-0456,2025-08-28,Chickballapura,Comar Circle,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2025-DHA-0457,2025-10-23,Dharwad,Zachariah Street,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2025-MAN-0458,2025-03-02,Mandya,Johal Zila,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2024-DHA-0459,2024-04-13,Dharwad,Aurora Street,Burglary,BNS 331,night house-break via rear entry,charge-sheeted,True
FIR-2025-TUM-0460,2025-05-30,Tumakuru,Pau Marg,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2025-BAG-0461,2025-12-24,Bagalkot,Ben Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2024-DAK-0462,2024-04-17,Dakshina Kannada,Shetty Zila,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2024-VIJ-0463,2024-05-21,Vijayapur,Rama Street,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2025-BAL-0464,2025-01-04,Ballari,Saini Circle,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-TUM-0465,2025-06-13,Tumakuru,Borra Chowk,Murder,BNS 103,property dispute,charge-sheeted,True
FIR-2025-RAI-0466,2025-03-05,Raichur,Sandhu Marg,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-VIJ-0467,2025-10-21,Vijayapur,Rama Street,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2024-VIJ-0468,2024-10-17,Vijayapur,Tailor Road,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2025-DAV-0469,2025-08-29,Davanagere,Bali Road,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2024-BEL-0470,2024-12-28,Belagavi,Raj Road,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2025-BAG-0471,2025-01-04,Bagalkot,Khanna Path,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2025-RAI-0472,2025-02-16,Raichur,Swaminathan Zila,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2025-BAG-0473,2025-12-29,Bagalkot,Naik,Extortion,BNS 308,protection money demand,closed,True
FIR-2025-MAN-0474,2025-02-22,Mandya,Jha,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-SHI-0475,2024-11-08,Shivamogga,Pillai Zila,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-CHI-0476,2025-01-21,Chickballapura,Comar Circle,Cyber Fraud,IT Act 66D,courier scam,convicted,True
FIR-2025-UDU-0477,2025-01-31,Udupi,Agate Street,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-BEL-0478,2025-12-25,Belagavi,Lalla Nagar,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-VIJ-0479,2024-10-08,Vijayapur,Chatterjee Zila,Murder,BNS 103,gang rivalry,convicted,True
FIR-2025-DAK-0480,2025-03-23,Dakshina Kannada,Barad Nagar,Cyber Fraud,IT Act 66D,OTP social engineering,under-investigation,True
FIR-2024-DHA-0481,2024-06-06,Dharwad,Ghosh Road,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2025-BEL-0482,2025-01-19,Belagavi,Lalla Nagar,Theft,BNS 303,pickpocketing in transit,under-investigation,True
FIR-2025-DHA-0483,2025-07-20,Dharwad,Zachariah Street,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-KAL-0484,2025-10-29,Kalaburagi,Narang Nagar,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2025-RAI-0485,2025-03-09,Raichur,Swaminathan Zila,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2025-UDU-0486,2025-11-27,Udupi,Agate Street,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2024-UDU-0487,2024-04-01,Udupi,Kalita,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2025-BAG-0488,2025-12-25,Bagalkot,Ghosh Nagar,Theft,BNS 303,shop till theft,under-investigation,True
FIR-2024-DAK-0489,2024-01-10,Dakshina Kannada,Barad Nagar,Murder,BNS 103,gang rivalry,court-pending,True
FIR-2024-BAG-0490,2024-02-01,Bagalkot,Khanna Path,NDPS,NDPS Act 20,courier parcel concealment,charge-sheeted,True
FIR-2025-VIJ-0491,2025-04-18,Vijayapur,Rama Street,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-DAV-0492,2024-02-07,Davanagere,Saxena Chowk,Cyber Fraud,IT Act 66D,fake loan app extortion,closed,True
FIR-2025-DAK-0493,2025-11-06,Dakshina Kannada,Shetty Zila,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2025-BEN-0494,2025-04-09,Bengaluru City,Wali Path,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2025-CHI-0495,2025-04-22,Chickballapura,Soni Zila,NDPS,NDPS Act 20,street-level peddling,court-pending,True
FIR-2024-UDU-0496,2024-01-06,Udupi,Narasimhan Ganj,Cyber Fraud,IT Act 66D,UPI phishing call,charge-sheeted,True
FIR-2024-BEN-0497,2024-01-29,Bengaluru City,Zacharia Street,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2025-BAG-0498,2025-10-02,Bagalkot,Khanna Path,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2025-MYS-0499,2025-03-28,Mysuru,Merchant Chowk,Murder,BNS 103,property dispute,court-pending,True
FIR-2024-DHA-0500,2024-04-08,Dharwad,Ghosh Road,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-KOL-0501,2025-04-09,Kolar,Bassi Ganj,Murder,BNS 103,personal enmity,court-pending,True
FIR-2024-MAN-0502,2024-09-19,Mandya,Johal Zila,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2025-MAN-0503,2025-10-29,Mandya,Jha,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2024-KOL-0504,2024-08-31,Kolar,Chopra Circle,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2025-HAS-0505,2025-09-22,Hassan,Sha Zila,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-HAS-0506,2025-05-07,Hassan,Bail,Burglary,BNS 331,night house-break via rear entry,under-investigation,True
FIR-2024-KAL-0507,2024-04-27,Kalaburagi,Narang Nagar,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-DAK-0508,2024-10-17,Dakshina Kannada,Rege Road,Burglary,BNS 331,terrace entry,closed,True
FIR-2024-DAV-0509,2024-06-29,Davanagere,Reddy Chowk,Murder,BNS 103,property dispute,under-investigation,True
FIR-2025-DAK-0510,2025-11-07,Dakshina Kannada,Barad Nagar,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-MAN-0511,2025-06-29,Mandya,Jha,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2025-DAV-0512,2025-10-06,Davanagere,Bali Road,Murder,BNS 103,gang rivalry,convicted,True
FIR-2024-UDU-0513,2024-03-07,Udupi,Agate Street,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2025-MYS-0514,2025-08-20,Mysuru,Kurian Street,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-MAN-0515,2024-10-29,Mandya,Dass Ganj,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2024-DAV-0516,2024-08-27,Davanagere,Reddy Chowk,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2025-VIJ-0517,2025-07-13,Vijayapur,Yogi Ganj,Murder,BNS 103,property dispute,under-investigation,True
FIR-2024-SHI-0518,2024-11-02,Shivamogga,Parmer Circle,Murder,BNS 103,property dispute,convicted,True
FIR-2024-BAL-0519,2024-08-21,Ballari,Saini Circle,Cheating,BNS 318,land document forgery,charge-sheeted,True
FIR-2025-DHA-0520,2025-12-15,Dharwad,Ghosh Road,Cheating,BNS 318,land document forgery,charge-sheeted,True
FIR-2025-UDU-0521,2025-12-03,Udupi,Agate Street,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2025-CHI-0522,2025-07-01,Chickballapura,Sama Street,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2025-CHI-0523,2025-12-06,Chickballapura,Sama Street,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2024-BAG-0524,2024-03-12,Bagalkot,Khanna Path,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2025-CHI-0525,2025-03-04,Chickballapura,Sama Street,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-BEN-0526,2024-07-25,Bengaluru City,Iyer Street,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2025-SHI-0527,2025-04-12,Shivamogga,Rao Nagar,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2025-MYS-0528,2025-12-16,Mysuru,Kurian Street,Cheating,BNS 318,investment ponzi scheme,closed,True
FIR-2024-MAN-0529,2024-05-04,Mandya,Nath Nagar,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2024-TUM-0530,2024-01-28,Tumakuru,Rana Zila,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-BAG-0531,2025-05-11,Bagalkot,Khanna Path,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2025-BEL-0532,2025-09-13,Belagavi,Dasgupta Circle,Murder,BNS 103,gang rivalry,under-investigation,True
FIR-2025-VIJ-0533,2025-03-27,Vijayapur,Tailor Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2025-VIJ-0534,2025-01-21,Vijayapur,Chatterjee Zila,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2024-DAK-0535,2024-04-08,Dakshina Kannada,Rege Road,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2024-HAS-0536,2024-12-31,Hassan,Sha Zila,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2024-CHI-0537,2024-11-04,Chickballapura,Sama Street,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-HAS-0538,2025-11-13,Hassan,Gupta Road,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2024-DHA-0539,2024-05-07,Dharwad,Ghosh Road,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2024-MYS-0540,2024-05-17,Mysuru,Contractor Path,Cyber Fraud,IT Act 66D,OTP social engineering,court-pending,True
FIR-2025-BAG-0541,2025-06-17,Bagalkot,Khanna Path,Burglary,BNS 331,lock-picking daytime entry,under-investigation,True
FIR-2024-TUM-0542,2024-07-28,Tumakuru,Rana Zila,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-TUM-0543,2025-05-07,Tumakuru,Pau Marg,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2024-SHI-0544,2024-03-26,Shivamogga,Pillai Zila,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2024-KOL-0545,2024-01-05,Kolar,Bassi Ganj,Burglary,BNS 331,lock-picking daytime entry,charge-sheeted,True
FIR-2024-BEL-0546,2024-02-09,Belagavi,Raj Road,Cheating,BNS 318,investment ponzi scheme,closed,True
FIR-2025-MYS-0547,2025-05-04,Mysuru,Merchant Chowk,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2024-DAK-0548,2024-09-17,Dakshina Kannada,Shetty Zila,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2025-SHI-0549,2025-03-13,Shivamogga,Rao Nagar,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2024-VIJ-0550,2024-10-02,Vijayapur,Rama Street,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2025-DHA-0551,2025-06-21,Dharwad,Bal Zila,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2024-VIJ-0552,2024-07-06,Vijayapur,Yogi Ganj,Murder,BNS 103,property dispute,closed,True
FIR-2024-TUM-0553,2024-10-27,Tumakuru,Rana Zila,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2024-KOL-0554,2024-02-12,Kolar,Chopra Circle,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2025-UDU-0555,2025-01-04,Udupi,Dhillon Road,Cyber Fraud,IT Act 66D,OTP social engineering,court-pending,True
FIR-2024-MAN-0556,2024-09-11,Mandya,Johal Zila,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-MAN-0557,2025-10-10,Mandya,Nath Nagar,Murder,BNS 103,gang rivalry,closed,True
FIR-2024-VIJ-0558,2024-10-27,Vijayapur,Chatterjee Zila,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-DAK-0559,2025-04-23,Dakshina Kannada,Barad Nagar,NDPS,NDPS Act 20,courier parcel concealment,closed,True
FIR-2024-HAS-0560,2024-01-30,Hassan,Bail,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2025-CHI-0561,2025-10-10,Chickballapura,Sama Street,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2025-RAI-0562,2025-01-25,Raichur,Swaminathan Zila,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2025-BEN-0563,2025-01-24,Bengaluru City,Zacharia Street,Cyber Fraud,IT Act 66D,fake loan app extortion,under-investigation,True
FIR-2024-RAI-0564,2024-01-10,Raichur,Swaminathan Zila,Cheating,BNS 318,fake job placement racket,charge-sheeted,True
FIR-2024-CHI-0565,2024-10-07,Chickballapura,Comar Circle,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2024-CHI-0566,2024-07-02,Chickballapura,Pathak Chowk,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2024-KOL-0567,2024-03-14,Kolar,Bassi Ganj,Cheating,BNS 318,land document forgery,under-investigation,True
FIR-2025-CHI-0568,2025-08-14,Chickballapura,Soni Zila,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2024-CHI-0569,2024-04-08,Chickballapura,Comar Circle,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2024-SHI-0570,2024-09-03,Shivamogga,Pillai Zila,Robbery,BNS 309,highway vehicle stop,court-pending,True
FIR-2024-BAG-0571,2024-10-08,Bagalkot,Ghosh Nagar,Cheating,BNS 318,fake job placement racket,convicted,True
FIR-2025-CHI-0572,2025-08-30,Chickballapura,Pathak Chowk,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2025-BEL-0573,2025-10-29,Belagavi,Dasgupta Circle,Robbery,BNS 309,knife-point street robbery,closed,True
FIR-2025-DAK-0574,2025-08-11,Dakshina Kannada,Shetty Zila,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-SHI-0575,2025-06-15,Shivamogga,Rao Nagar,Murder,BNS 103,property dispute,under-investigation,True
FIR-2024-MYS-0576,2024-08-30,Mysuru,Kurian Street,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2024-DHA-0577,2024-05-11,Dharwad,Zachariah Street,Theft,BNS 303,shop till theft,court-pending,True
FIR-2025-DAV-0578,2025-07-02,Davanagere,Bali Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2025-RAI-0579,2025-06-28,Raichur,Swaminathan Zila,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-BEL-0580,2024-08-15,Belagavi,Lalla Nagar,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2025-BEL-0581,2025-09-14,Belagavi,Lalla Nagar,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2025-KAL-0582,2025-12-31,Kalaburagi,Sinha Ganj,NDPS,NDPS Act 20,hostel network supply,under-investigation,True
FIR-2024-BAG-0583,2024-07-06,Bagalkot,Ghosh Nagar,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2024-MYS-0584,2024-04-05,Mysuru,Mahajan Circle,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2025-KOL-0585,2025-05-24,Kolar,Chopra Circle,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2024-DAK-0586,2024-08-18,Dakshina Kannada,Shetty Zila,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-BAL-0587,2024-12-12,Ballari,Prabhakar Chowk,Robbery,BNS 309,knife-point street robbery,closed,True
FIR-2025-CHI-0588,2025-09-24,Chickballapura,Sama Street,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-VIJ-0589,2025-05-18,Vijayapur,Tailor Road,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2025-SHI-0590,2025-01-18,Shivamogga,Parmer Circle,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2025-VIJ-0591,2025-01-02,Vijayapur,Tailor Road,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-CHI-0592,2025-03-07,Chickballapura,Comar Circle,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2024-BEN-0593,2024-06-08,Bengaluru City,Iyer Street,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2025-KAL-0594,2025-03-15,Kalaburagi,Sinha Ganj,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2025-BEL-0595,2025-04-30,Belagavi,Dasgupta Circle,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2024-KAL-0596,2024-07-15,Kalaburagi,Kant,Theft,BNS 303,shop till theft,convicted,True
FIR-2024-BEL-0597,2024-11-07,Belagavi,Pillay Chowk,Murder,BNS 103,property dispute,charge-sheeted,True
FIR-2024-HAS-0598,2024-02-23,Hassan,Sha Zila,Murder,BNS 103,personal enmity,court-pending,True
FIR-2024-HAS-0599,2024-05-13,Hassan,Kala Zila,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2024-BEL-0600,2024-04-18,Belagavi,Lalla Nagar,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2025-VIJ-0601,2025-04-30,Vijayapur,Chatterjee Zila,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2024-CHI-0602,2024-03-10,Chickballapura,Pathak Chowk,Cheating,BNS 318,land document forgery,court-pending,True
FIR-2025-RAI-0603,2025-02-11,Raichur,Balasubramanian Chowk,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2024-VIJ-0604,2024-06-12,Vijayapur,Tailor Road,Murder,BNS 103,gang rivalry,convicted,True
FIR-2024-DAK-0605,2024-05-01,Dakshina Kannada,Rege Road,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2025-MAN-0606,2025-10-09,Mandya,Jha,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2024-BEN-0607,2024-02-28,Bengaluru City,Zacharia Street,Cyber Fraud,IT Act 66D,fake loan app extortion,under-investigation,True
FIR-2024-UDU-0608,2024-07-27,Udupi,Narasimhan Ganj,Theft,BNS 303,pickpocketing in transit,charge-sheeted,True
FIR-2024-CHI-0609,2024-06-29,Chickballapura,Comar Circle,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-UDU-0610,2025-03-12,Udupi,Kalita,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2024-BEN-0611,2024-04-22,Bengaluru City,Sagar Path,Murder,BNS 103,property dispute,under-investigation,True
FIR-2024-TUM-0612,2024-12-12,Tumakuru,Kara Street,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2024-BEN-0613,2024-05-06,Bengaluru City,Sagar Path,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2024-MAN-0614,2024-05-30,Mandya,Jha,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2024-MAN-0615,2024-10-15,Mandya,Nath Nagar,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2024-KOL-0616,2024-06-03,Kolar,Bassi Ganj,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-MAN-0617,2025-05-26,Mandya,Jha,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2024-CHI-0618,2024-05-31,Chickballapura,Sama Street,Cyber Fraud,IT Act 66D,OTP social engineering,court-pending,True
FIR-2025-BAL-0619,2025-10-13,Ballari,Chaudhary Marg,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2024-TUM-0620,2024-08-12,Tumakuru,Kara Street,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2024-KAL-0621,2024-05-22,Kalaburagi,Kant,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-TUM-0622,2025-11-09,Tumakuru,Rana Zila,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2024-KAL-0623,2024-07-05,Kalaburagi,Narang Nagar,Chain Snatching,BNS 304,market crowd snatching,charge-sheeted,True
FIR-2024-DHA-0624,2024-01-12,Dharwad,Aurora Street,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2024-KOL-0625,2024-04-04,Kolar,Mitra Circle,Theft,BNS 303,vehicle theft from parking,closed,True
FIR-2025-UDU-0626,2025-04-24,Udupi,Dhillon Road,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2024-SHI-0627,2024-12-09,Shivamogga,Pillai Zila,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2025-HAS-0628,2025-05-10,Hassan,Gupta Road,Robbery,BNS 309,knife-point street robbery,closed,True
FIR-2024-KOL-0629,2024-04-09,Kolar,Chopra Circle,Cyber Fraud,IT Act 66D,fake loan app extortion,court-pending,True
FIR-2024-TUM-0630,2024-03-21,Tumakuru,Kara Street,Extortion,BNS 308,protection money demand,closed,True
FIR-2024-UDU-0631,2024-02-10,Udupi,Narasimhan Ganj,Cheating,BNS 318,investment ponzi scheme,under-investigation,True
FIR-2025-SHI-0632,2025-04-10,Shivamogga,Pillai Zila,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2025-SHI-0633,2025-05-14,Shivamogga,Rao Nagar,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2025-BAL-0634,2025-10-21,Ballari,Prabhakar Chowk,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2025-RAI-0635,2025-04-22,Raichur,Swaminathan Zila,Cyber Fraud,IT Act 66D,fake loan app extortion,under-investigation,True
FIR-2025-CHI-0636,2025-09-10,Chickballapura,Sama Street,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-MAN-0637,2025-01-24,Mandya,Johal Zila,Rioting,BNS 191,communal flashpoint clash,closed,True
FIR-2024-UDU-0638,2024-05-25,Udupi,Kalita,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2024-MAN-0639,2024-10-31,Mandya,Johal Zila,Cyber Fraud,IT Act 66D,fake loan app extortion,charge-sheeted,True
FIR-2025-KAL-0640,2025-09-23,Kalaburagi,Narang Nagar,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-DHA-0641,2025-11-21,Dharwad,Bal Zila,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2024-VIJ-0642,2024-04-09,Vijayapur,Rama Street,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2025-BEN-0643,2025-01-07,Bengaluru City,Zacharia Street,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2025-DAK-0644,2025-04-14,Dakshina Kannada,Rege Road,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2024-RAI-0645,2024-04-16,Raichur,Balasubramanian Chowk,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2025-BEL-0646,2025-01-25,Belagavi,Dasgupta Circle,NDPS,NDPS Act 20,street-level peddling,convicted,True
FIR-2025-DAV-0647,2025-06-03,Davanagere,Kalla Path,Burglary,BNS 331,lock-picking daytime entry,convicted,True
FIR-2025-DAK-0648,2025-09-06,Dakshina Kannada,Barad Nagar,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2024-UDU-0649,2024-06-26,Udupi,Agate Street,Cheating,BNS 318,fake job placement racket,court-pending,True
FIR-2025-DAK-0650,2025-07-20,Dakshina Kannada,Dey Zila,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2024-BAG-0651,2024-05-13,Bagalkot,Ghosh Nagar,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-BEN-0652,2025-10-04,Bengaluru City,Sagar Path,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2025-BEN-0653,2025-02-04,Bengaluru City,Wali Path,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2024-DAK-0654,2024-07-03,Dakshina Kannada,Shetty Zila,Chain Snatching,BNS 304,market crowd snatching,closed,True
FIR-2025-KOL-0655,2025-07-02,Kolar,Thakur Chowk,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2024-CHI-0656,2024-10-07,Chickballapura,Comar Circle,Theft,BNS 303,shop till theft,closed,True
FIR-2024-DAV-0657,2024-09-13,Davanagere,Saxena Chowk,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2025-UDU-0658,2025-09-29,Udupi,Dhillon Road,Cyber Fraud,IT Act 66D,OTP social engineering,under-investigation,True
FIR-2025-DHA-0659,2025-08-23,Dharwad,Bal Zila,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2024-MAN-0660,2024-07-09,Mandya,Dass Ganj,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2025-SHI-0661,2025-07-29,Shivamogga,Pillai Zila,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2024-HAS-0662,2024-11-21,Hassan,Sha Zila,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2024-BEN-0663,2024-10-18,Bengaluru City,Sagar Path,Murder,BNS 103,property dispute,closed,True
FIR-2025-CHI-0664,2025-10-22,Chickballapura,Sama Street,Cyber Fraud,IT Act 66D,courier scam,convicted,True
FIR-2024-BAG-0665,2024-11-01,Bagalkot,Ben Road,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2024-BEL-0666,2024-05-22,Belagavi,Pillay Chowk,Murder,BNS 103,gang rivalry,convicted,True
FIR-2024-BEL-0667,2024-02-14,Belagavi,Lalla Nagar,Theft,BNS 303,vehicle theft from parking,closed,True
